index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
273,40.0,-54.0,0.8461568505372541,104.24131680771153,92.76479687288052,98.50305615365035,29.296356310280167,19.05432120200733,24.175338813364426,10.242034898464448,229.08809565128922,195.55023612807267,212.31916314309862,183.78929073806268,119.52215248995832,151.65572138512735,0.17400000000000002,0.65,1,13,25,40,36,38,16,23,21,23,35,32,33,17,23,21,29,26
380,44.0,-44.0,0.45657893810023853,100.13280667563083,88.02107449504922,94.07693844911,27.099049141889623,14.402546943660184,20.75079825258325,12.696502045641653,226.67033319976701,180.49114739380713,203.58074640029747,170.01766597342385,90.39857717451574,130.20812309985217,0.28800000000000003,0.9500000000000001,2,18,8,31,27,29,1,3,1,40,32,22,26,1,3,1,48,38
33,64.0,-78.0,0.769424046733258,92.7888828686345,81.91965617395293,87.35426921611766,30.3113666457255,19.280427914898596,24.79589708957718,11.030938368430954,211.6942205071984,176.2558681127172,193.97504202113942,190.09985896035096,120.89603916427518,155.49795127483776,0.18,0.8,12,1,22,16,17,16,25,23,24,29,15,18,17,25,23,24,30,32
310,72.0,-52.0,0.7381489833930654,91.91250288561787,81.34865797385994,86.63058226079372,30.10694667570042,18.705586390052773,24.406266551950065,11.401360419162122,213.54177792595755,174.5909923936703,194.0663879063958,188.82696989420012,117.31062130518737,153.06879666780932,0.186,0.5750000000000001,16,14,21,14,16,15,23,21,22,32,17,17,17,23,21,22,31,23
435,70.0,-40.0,0.6571889169028948,90.44435042205524,79.72995489787972,85.0871555209904,29.703663155619118,17.950610154439573,23.827136416610763,11.75305266739357,208.40372769199823,171.05379101716517,189.72875821017246,186.28636167677558,112.55517001913833,149.4207641313431,0.138,0.025,15,20,18,11,13,12,20,18,19,34,11,15,13,20,18,19,23,1
287,68.0,-54.0,0.8163360249762404,94.64095851418156,84.15042124495784,89.39569087139158,30.325800201275783,19.459159338409123,24.89247984613634,10.86664105360147,216.13196615947763,180.47899738216515,198.3054826863492,190.19910670165262,122.02753529525611,156.11331962516329,0.138,0.2,14,13,24,19,21,20,25,24,24,28,20,22,21,25,24,24,23,8
63,40.0,-74.0,0.9909748396715766,99.08382269109586,88.28783407821861,93.68582693507273,30.848862167031264,21.09848071277452,25.973671325461936,9.750381397036351,221.00777142751423,190.52153947469643,205.7646607916812,193.48591531586345,132.28565326663377,162.88578383348494,0.078,0.1,1,3,30,29,28,28,29,30,30,19,26,29,28,29,30,30,13,4
96,64.0,-72.0,0.9064087373632318,95.7910123885335,85.5474785407888,90.66924687609885,30.853566884949096,20.482751693943843,25.668159403887675,10.370815057490265,217.33844537324026,184.4635789292455,200.90101054907177,193.5044129013665,128.4334233539439,160.9689220567966,0.15,0.7000000000000001,12,4,27,22,23,22,29,28,28,24,22,24,23,29,28,28,25,28
189,40.0,-62.0,0.5516811606091313,96.71718848016279,83.77502431882566,90.24610403438322,28.21016813349974,16.21238594814639,22.211277012212342,11.997782662191815,215.2337101531976,175.17398595328245,195.20384896877783,176.96181262849123,101.69614989558147,139.32898202497842,0.246,1.225,1,9,13,24,20,22,6,12,10,36,19,18,18,6,12,10,41,49
167,80.0,-66.0,0.6150635289385584,86.44070213647197,75.2701863821548,80.8554419704933,29.919381124087884,17.77810745023243,23.84874356236768,12.14127443679508,201.92438062946025,162.34903085589153,182.1367103203139,187.64141468444492,111.47881581756032,149.560112733302,0.186,0.225,20,7,16,5,6,5,22,18,19,37,4,8,6,22,18,19,31,9
