index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
338,44.0,-48.0,0.5823122283862557,100.7886874774942,88.66178867823847,94.72523685716205,27.95131630701769,16.151154879738435,22.051235669671712,11.80016104580989,224.96465034176703,183.96673350184096,204.4656952787364,175.3578271961817,101.34711010033773,138.3524665120301,0.24,0.7000000000000001,2,16,14,32,28,30,4,11,9,34,30,24,26,4,11,9,40,28
329,68.0,-50.0,0.4566392595599933,87.28691966295818,75.94223932797259,81.6145800295204,28.589399055965316,15.314664828894536,21.952032333435252,13.274734417804009,208.07314501363592,159.8159297451073,183.94453661643482,179.31152395470758,96.05716304442652,137.68433670939282,0.28200000000000003,1.225,14,15,8,6,7,6,9,8,8,45,11,6,8,9,8,8,47,49
101,74.0,-72.0,0.7815128389106112,91.37204280253434,80.89475702303253,86.13340143866087,30.545877447651414,19.447985439392713,24.996931062052337,11.09789200825879,211.08980703686984,174.88760667756304,192.98870838309682,191.57273248738935,121.95075061341866,156.7617400245262,0.18,0.875,17,4,22,13,15,14,27,24,25,30,14,17,16,27,24,25,30,35
268,72.0,-56.0,0.7866464598817566,92.92176432405623,82.53756814463173,87.72966623434355,30.352083883600855,19.1999977309707,24.77604086450591,11.152086419659726,215.19995259541076,177.49352952053758,196.34674609337628,190.3669048492709,120.41110080645117,155.38900107309854,0.186,0.9500000000000001,16,12,23,16,18,17,25,23,24,30,19,19,19,25,23,24,31,38
263,62.0,-56.0,0.41440587835044984,88.82690095642492,76.96573823816416,82.89632020764458,28.128927161392852,14.591227660699202,21.360077144017474,13.53769969142838,208.43236027324855,160.7909100789486,184.61163456575414,176.41990116620838,91.52220498814903,133.97104987283606,0.28800000000000003,0.8500000000000001,11,12,4,8,8,8,5,4,4,47,11,7,8,5,4,4,48,34
253,42.0,-56.0,0.5203825695420573,97.26169976195206,84.62078819785967,90.94124565837396,27.92503805484838,15.666487768322156,21.795762720850078,12.25854980968865,216.68225175943314,175.957625548688,196.31993758594663,175.17317464397846,98.27595388133747,136.72456617000168,0.234,0.4,1,12,11,25,21,23,4,9,7,37,21,18,19,4,9,7,39,16
298,48.0,-52.0,0.7221568514606256,100.79679955668477,89.35726066353577,95.07702782129046,28.973487308238536,17.89551358565955,23.434501019153082,11.077973188522277,225.1578752403979,187.56429241605315,206.36108443857856,181.75775139134487,112.26906691977157,147.01341358060415,0.216,1.25,4,14,20,32,30,31,13,18,17,30,30,26,28,13,18,17,36,50
435,70.0,-40.0,0.5844539623015879,89.39852910827611,78.56011816600218,83.97932592595461,29.24734498106918,16.936847328607104,23.09209672704237,12.310497270991984,212.12102673651532,167.41065688628584,189.7658448631584,183.43328253595388,106.22514205319162,144.82921153163184,0.228,0.45,15,20,15,9,11,10,16,15,15,38,16,12,13,16,15,15,38,18
42,40.0,-76.0,0.9814035099386874,99.45620146628848,88.13242949235391,93.7943191414306,30.719934994771137,21.052567361846798,25.88625098757415,9.667368090687996,221.42165647073648,190.7743499424127,206.09799801858608,192.68085813681233,131.99911129237765,162.3399859352982,0.12,0.35000000000000003,1,2,29,29,27,28,28,30,30,18,26,29,28,28,30,30,20,14
351,70.0,-48.0,0.7478651690898147,91.2523422241211,80.70960388183593,85.98097686767578,30.285391235351568,19.073279571533202,24.679335403442384,11.212111091613771,207.7346649169922,173.99302673339844,190.8638458251953,189.93392944335938,119.58544921875,154.7596862792969,0.084,0.0,15,16,21,13,15,14,25,23,23,30,11,17,14,25,23,23,14,1
