index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
213,46.0,-60.0,0.49014113665735043,94.46014342711234,82.07465102635048,88.26739882890396,28.06744040939538,15.45796135754317,21.762701102814354,12.609479051852308,211.47146726819716,171.2276940743136,191.3495745677405,176.04786282248213,96.95070427665586,136.4992818711017,0.21,0.07500000000000001,3,10,10,19,17,18,5,8,7,40,15,15,15,5,8,7,35,3
335,80.0,-50.0,0.7896316479316594,90.36861257816057,79.97978352266038,85.17419805040883,30.627726920091394,19.417698635053885,25.022713635879523,11.210026759159833,210.8275190273839,173.64112828324508,192.23432441825722,192.08916463176507,121.76582848907861,156.92749770483428,0.162,0.4,20,15,23,11,13,12,27,24,25,30,14,17,15,27,24,25,27,16
14,68.0,-80.0,0.9610760966651936,94.9509668197201,84.8288179442709,89.88989154276311,31.29576740504939,21.153330160729865,26.224548487250843,10.142436853312416,215.83719060756812,184.16793196148683,200.00256128453003,196.2723850834896,132.629291507931,164.45083608318637,0.114,0.30000000000000004,14,1,29,20,22,21,32,31,31,23,20,24,23,32,31,31,19,12
184,72.0,-64.0,0.9218122893134899,95.06608140559742,85.11311536801888,90.089598844574,31.024878971040707,20.584514641946004,25.8046970735218,10.440364786858373,217.56205782471613,184.04458334514464,200.80332241598217,194.58011213669752,129.07651853217936,161.8283145715026,0.14400000000000002,0.625,16,8,27,20,22,21,30,28,29,25,22,24,23,30,28,29,24,25
343,54.0,-48.0,0.7371881803260838,99.70606998469567,88.68764164812866,94.19685612158737,29.18960526213109,18.077573562065094,23.633589869861467,11.112031433036966,225.10440864360666,186.6603699806671,205.88238839661014,183.10192753429993,113.40561013866107,148.253772651176,0.20400000000000001,0.8250000000000001,7,16,21,30,28,29,15,19,18,30,30,26,28,16,19,18,34,33
152,50.0,-66.0,0.7701808246814686,96.9709124415858,85.54082732248366,91.2558683561535,29.750551172432633,18.91888544187537,24.334718669550533,10.831664910397345,217.1454363331946,182.01770757562284,199.58157164922943,186.601503452703,118.64225576682168,152.62188533181583,0.17400000000000002,0.525,5,7,22,24,23,24,20,22,22,28,21,23,22,20,22,22,29,21
275,44.0,-54.0,0.5916444575678578,97.40645182154402,85.36864527043929,91.38754846969806,28.413406284856606,16.61089005470024,22.512147921823118,11.802516325523854,216.7076155547102,178.6529170458382,197.6802678261528,178.2266674116984,104.18358945049019,141.20512621857017,0.17400000000000002,0.07500000000000001,2,13,15,25,23,24,7,13,12,34,21,20,20,7,13,12,29,3
426,52.0,-40.0,0.8867381963904568,105.6080077605352,95.21807397245948,100.41303857768007,29.426000586497334,19.109319670495488,24.26766012849641,10.316680534532578,236.21525563823104,200.40533433379477,218.3102873566242,184.6019835885266,119.88492268763454,152.24345390102255,0.18,0.875,6,20,26,43,40,41,18,23,21,24,43,36,39,18,23,21,30,35
212,44.0,-60.0,0.8075689429369999,100.69624781352346,89.2178595851952,94.95705652223663,29.516304082339545,18.995222070340876,24.255763152634596,10.521082908453293,223.2725963353918,189.00924423147268,206.14092150413884,185.15248711937565,119.13733095145858,152.14490529700987,0.186,0.9500000000000001,2,10,23,32,29,31,18,22,21,26,28,27,28,18,22,21,31,38
226,72.0,-60.0,0.7710550198827664,92.33814006367325,81.82588602606666,87.08201029828976,30.329216071521195,19.123540517144527,24.72637789378919,11.205675993066858,213.60931204465436,176.03561663665886,194.8224638828951,190.2210653171619,119.92792103071044,155.07449149546574,0.186,0.875,16,10,22,15,16,16,25,23,24,30,17,18,18,25,23,24,31,35
