index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
124,78.0,-70.0,0.40233820609428694,82.31180938537786,70.44294128221605,76.37737548638427,28.794901275069975,14.9621352182223,21.87851837062386,13.83276622850899,195.43633574893843,149.7928732250456,172.61460357146453,180.60399016980196,93.82737044441893,137.21567565317963,0.28200000000000003,0.5750000000000001,19,5,3,1,1,1,11,6,8,49,1,1,1,11,6,8,47,23
139,66.0,-68.0,0.6689412038049187,90.91632541330709,79.68955326161277,85.30293887969636,29.82151188803371,18.167848646093603,23.99468022891674,11.653663203793188,207.62279090993167,170.4254981455819,189.02414376481732,187.0273319051028,113.9205869842482,150.47395913949958,0.15,0.1,13,6,18,12,13,12,21,19,20,33,10,14,13,21,19,20,25,4
424,48.0,-40.0,0.8093188031172882,102.00129668918433,91.05283049173329,96.52706450598572,29.25549433507618,18.704428561825218,23.97996125771587,10.55106605935335,227.0402230891154,192.20584589787342,209.62303495125894,183.51656944628132,117.3136832539997,150.41512467167365,0.126,0.07500000000000001,4,20,23,35,33,34,16,21,20,26,32,30,31,16,21,20,21,3
424,48.0,-40.0,0.8469116658149758,106.49124571201769,95.66791166368158,101.07958067149228,29.02334129075156,18.66023040254942,23.8417858847975,10.363111193377847,236.60051022500087,200.5881090897403,218.59430782631563,182.0847790364781,117.07384731865632,149.5793127198031,0.18,0.5750000000000001,4,20,25,45,41,43,14,21,19,24,43,36,39,14,21,19,30,23
169,42.0,-64.0,0.7793501132839629,99.3631187049177,87.5138993358402,93.4385106988466,29.452340193836857,18.785975743440634,24.119157816051,10.666364088000055,220.44742789880368,185.78853930851898,203.1179811622551,184.7459939041396,117.81648914517301,151.2812425927712,0.186,0.8,1,8,22,29,26,28,18,22,20,27,25,25,25,18,22,20,31,32
360,46.0,-46.0,0.5052012705245509,98.71344151305519,86.75320744591941,92.73332371654851,27.60496087277316,15.2585072606621,21.431734028570563,12.346453535816954,221.63543161168386,179.5137849010865,200.57460642533022,173.1672821772894,95.73152544429459,134.44940686254904,0.228,0.15000000000000002,3,17,11,28,25,26,2,7,4,38,26,21,23,2,7,4,38,6
5,50.0,-80.0,0.6196122667717054,91.93340754502498,79.65520929451378,85.79430994564648,29.342396534857745,17.586105700174727,23.464250163842376,11.75628930880434,207.38135671173734,169.57690414621905,188.47912279958547,184.0273070626405,110.27200147253319,147.1496519787703,0.192,0.375,5,1,16,14,13,13,17,17,17,34,10,13,12,17,17,17,32,15
289,72.0,-54.0,0.6376344799297123,89.38847351074219,78.58368377685547,83.98607788085937,29.73011817932129,17.85472068786621,23.792420196533204,11.875397491455077,204.69088439941407,168.51236877441406,186.60162048339845,186.4513153076172,111.95047454833986,149.20089416503905,0.12,0.0,16,13,17,9,11,10,20,18,19,35,7,13,10,20,18,19,20,1
439,78.0,-40.0,0.7010875425630358,88.67132657142105,78.13522000050038,83.40327237043294,30.185373911713935,18.41227454104627,24.298824531556157,11.773099370667719,210.1422954689824,169.23616020093257,189.68922600390238,189.32213436851274,115.4712896078957,152.39671015714757,0.20400000000000001,0.7250000000000001,19,20,19,8,10,9,24,20,21,34,13,13,13,24,20,21,34,29
421,42.0,-40.0,0.4991766771967529,103.72684125055912,91.60003033368038,97.66343533435492,26.97278895827462,14.727922751732493,20.85035655118599,12.244866244688664,233.42390619720223,187.83557518458701,210.62973840207803,169.2451211230562,92.46233299285942,130.85372583725498,0.28200000000000003,0.925,1,20,10,39,34,36,1,5,2,37,40,27,32,1,5,2,47,37
