index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
311,74.0,-52.0,0.4542372292127712,84.6263507217611,73.31766076665777,78.9720052482985,28.87723040080716,15.527707319821479,22.202469051048816,13.34952320496305,202.03002735285312,155.6516244842484,178.8408264526107,181.11344683635977,97.37834478981958,139.2458954316214,0.27,0.7000000000000001,17,14,7,3,3,3,12,9,10,46,5,3,4,12,9,10,45,28
219,58.0,-60.0,0.5072113242244921,91.4017416772339,79.48289890862166,85.44231876705142,28.592420816711513,15.88071154069225,22.236566483878427,12.71170900899033,210.30980599178196,166.80422435457803,188.55701730940535,179.32911627279293,99.60607741725917,139.46759470879405,0.252,0.8500000000000001,9,10,11,13,12,13,9,10,10,41,14,11,12,9,10,10,42,34
234,46.0,-58.0,0.7173920732724637,97.97606650910042,86.31829405779392,92.14718200006047,29.223690686394058,18.143480740616823,23.68358552277064,11.080209945777227,218.11767409477295,182.29630945611467,200.20699291985298,183.3056143824364,113.78673148685766,148.5461714087684,0.15,0.125,3,11,20,26,24,25,16,19,18,30,22,23,23,16,19,18,25,5
404,50.0,-42.0,0.694768803404106,102.35092151665074,91.1985538168025,96.77473987925103,28.537138411407945,17.306835684634002,22.921987505784642,11.230303184537473,230.68290076817624,190.34048624793542,210.5116919821781,179.02723850565965,108.59781915028879,143.81252844650422,0.222,0.8250000000000001,5,19,19,36,33,34,9,16,14,31,37,28,32,9,16,14,37,33
62,80.0,-76.0,0.9257340345770487,92.72585310460998,82.86295438880376,87.79440565405586,31.33610389422258,20.902706369407202,26.119404864786187,10.433397658329762,213.60112210141466,180.70919093720696,197.15515224684927,196.52746641263624,131.06270351642797,163.79508053948314,0.138,0.5750000000000001,20,2,28,16,18,17,33,30,31,25,17,22,20,33,30,31,23,23
91,54.0,-72.0,0.3658459040710242,87.54048217354254,74.63300903327779,81.08674712929016,27.99455596873144,14.028200796168822,21.01137847781756,13.966355058121865,201.98762938527886,155.54750731442155,178.7675683498502,175.57343444503786,87.977231738689,131.77533324445218,0.3,0.7250000000000001,7,4,1,6,5,5,4,1,2,50,5,3,4,4,1,2,50,29
69,52.0,-74.0,0.6688762666362389,93.40452739435145,81.50645277297254,87.45549115177606,29.50904436656102,18.061321242299513,23.785182308519765,11.447723314996804,210.69845420884224,173.58398350392736,192.14122038226603,185.0762361158828,113.25788550835023,149.16706325352916,0.192,0.525,6,3,18,17,16,16,18,19,19,32,14,17,15,18,19,19,32,21
325,60.0,-50.0,0.6765828971245316,95.17958974754148,84.15417622145762,89.66688679919682,29.295741635429483,17.779293781787246,23.53751675493405,11.516446899967917,216.91105632452673,177.83739904014664,197.3742276823367,183.7455534755893,111.509493758253,147.62752361692114,0.18,0.225,10,15,18,21,21,21,16,18,17,33,21,20,20,16,18,17,30,9
88,48.0,-72.0,0.9912102890751333,99.50257541050668,88.72716373416652,94.11487094562791,30.84221718580716,21.08293676031666,25.962576915841563,9.7592809786215,222.16952521405585,191.4232602910214,206.79639626206128,193.44513646041332,132.19279047267537,162.8189633902494,0.126,0.47500000000000003,4,4,30,29,28,29,29,30,30,19,27,29,28,29,30,30,21,19
348,64.0,-48.0,0.6001609651339105,92.32906225957932,81.25583426939312,86.7924468149005,29.069454706085267,17.010409926806382,23.03993220200494,12.059044226147654,212.97542433721316,171.8723777946323,192.42390121851065,182.31815745579215,106.68190438016744,144.50003221497673,0.192,0.15000000000000002,12,16,15,15,15,15,14,15,15,36,17,15,16,14,15,15,32,6
154,54.0,-66.0,0.918430021594278,98.86162756538374,88.34154457489512,93.6015860701379,30.525181211608594,20.33538035270511,25.430281011038943,10.18980112593281,221.61119641753248,189.24044757853204,205.42582169285345,191.4572388542,127.5167436408504,159.4869904845873,0.156,0.8500000000000001,7,7,27,28,28,28,27,27,27,23,26,28,27,27,27,27,26,34
35,68.0,-78.0,0.44269198489669204,85.61767027203739,73.33487425028073,79.47627226116006,28.7998400829579,15.42064890598862,22.11024428466478,13.379191291410706,199.8667522786131,155.37904109157364,177.62289790579644,180.6189941097095,96.69935478211102,138.659174751085,0.264,0.775,14,1,7,4,3,3,11,8,9,46,3,3,3,11,8,9,44,31
124,78.0,-70.0,0.9056161997088676,93.06725641991616,83.19349969231226,88.13037927681779,31.168940572109268,20.607098826915735,25.88801939433672,10.561841859634452,214.67223744518753,180.91801621078906,197.7951249969319,195.4820977145182,129.21481738250515,162.34845388640235,0.156,0.9500000000000001,19,5,27,16,19,18,32,29,30,26,19,22,21,32,29,30,26,38
188,80.0,-64.0,0.4874687722633667,83.73780122775572,72.21764513143674,77.97772462918076,29.273207633716783,16.20422742612683,22.73871777787729,13.068980302957053,197.49826482564941,154.76412938373343,176.13119542622593,183.59350010727883,101.60999552748206,142.6017465966769,0.234,0.275,20,8,10,2,2,2,16,12,13,43,2,3,2,16,12,13,39,11
332,74.0,-50.0,0.8376590727152565,93.57735041733095,83.45131662385896,88.51433420723936,30.584411956218148,19.627338736520674,25.105875804132175,10.957073219697932,217.13559194420188,180.07276842429525,198.6041820152996,191.82442408171576,123.09080693547426,157.45761985734845,0.17400000000000002,0.875,17,15,24,17,19,18,27,25,26,29,21,21,21,27,25,26,29,35
184,72.0,-64.0,0.41022285387245055,84.38940658167442,72.6085984758477,78.49900329170109,28.613982046897803,14.880801141034611,21.747391546282238,13.733180867716147,200.31535094113732,153.37454680356723,176.84494597318175,179.46333831071564,93.32389143255425,136.39361357463878,0.28800000000000003,1.0250000000000001,16,8,4,2,2,2,9,5,7,49,3,2,2,9,5,7,48,41
313,78.0,-52.0,0.6697681145301577,88.27313708659297,77.48548267185454,82.87931109992678,30.053032118346838,18.222527288926937,24.13777958919594,11.83050425721531,206.80866004463908,167.0535804115761,186.93111977034394,188.48368198493813,114.27248513327102,151.37808569533428,0.186,0.325,19,14,18,7,9,8,23,19,21,35,10,12,11,23,19,21,31,13
184,72.0,-64.0,0.9023925290978132,94.51720183097133,84.38264250204826,89.44992308203715,30.950170590916937,20.445512614362656,25.69784148819887,10.504657137320882,216.1063488517667,182.42454403276543,199.26544369568364,194.11018736321245,128.20291531504992,161.1565514917193,0.132,0.35000000000000003,16,8,27,19,21,20,30,28,29,25,20,23,22,30,28,29,22,14
125,80.0,-70.0,0.3892349138436544,81.28403319603095,69.43875807992008,75.36139907120523,28.832610128346637,14.801307864602311,21.816958996474202,14.03130293131635,193.91093747989214,147.72949064339917,170.8202087210695,180.8472503539087,92.81939160484325,136.833316020263,0.294,0.9500000000000001,20,5,2,1,1,1,12,5,7,50,1,1,1,12,5,7,49,38
368,62.0,-46.0,0.9339361082096423,94.08021240234375,83.98250732421874,89.03135681152344,31.210330963134766,20.908872985839842,26.059602355957036,10.301456832885743,213.1751037597656,182.501171875,197.83813781738283,195.73550415039062,131.08840942382812,163.41195068359377,0.024,0.0,11,17,28,18,20,19,32,30,31,24,17,23,21,32,30,30,4,1
232,42.0,-58.0,0.7380927492425928,100.6321097936708,88.72291285600043,94.67751033301344,29.040297233478626,18.204401837595636,23.622349611831,10.835895338662676,222.7207588961219,186.91566516703452,204.81821401521788,182.17375056174467,114.1900113320012,148.1818822438688,0.198,0.8,1,11,21,32,28,30,14,19,18,28,28,26,27,14,19,18,33,32
78,70.0,-74.0,0.4025135208079819,84.42384919257138,72.22297059202917,78.32341004488875,28.602257692490532,14.818175321219028,21.710215991871667,13.784082523860413,199.05287417236252,152.57443972321929,175.81365603226476,179.38535828929164,92.92697848826417,136.15617128795014,0.28800000000000003,1.1500000000000001,15,3,3,2,2,2,9,5,6,49,2,2,2,9,5,6,48,46
