index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
227,74.0,-60.0,0.6785122749639543,89.66967245940604,78.79674614093953,84.23320853723553,29.988187231052123,18.227342062865095,24.10776464695843,11.76084516818721,209.46632399469362,169.3320619578907,189.39919145042055,188.08317421722447,114.31109942821467,151.19713605977867,0.21,1.0,17,10,18,10,11,10,22,19,20,34,13,13,13,22,19,20,35,40
256,48.0,-56.0,0.759154944321547,99.73779223071232,88.31396426771764,94.02587649445482,29.324915204234344,18.465354892763994,23.895135353674696,10.859560616646169,222.32892552429746,186.31978248094373,204.32435003533598,183.9490658880665,115.82039695308534,149.88472966581634,0.186,0.6000000000000001,4,12,22,30,28,29,17,20,19,28,27,26,26,17,20,19,31,24
316,42.0,-50.0,0.7916980887240043,102.1627170546964,90.70161720691877,96.4321674359833,29.15096802645953,18.581823983197587,23.86639611926941,10.569143394763422,225.50615004499343,191.16102862246186,208.33358963890356,182.86673040258611,116.54752944656977,149.70713084010498,0.132,0.1,1,15,23,35,32,33,15,21,19,26,31,29,30,15,21,19,22,4
406,54.0,-42.0,0.7669441317194483,101.46462037671515,90.67912080383653,96.07187104803974,29.11750168110968,18.198919072870844,23.65821037699031,10.918583371178253,229.13670657215718,190.6665881756943,209.90164249111402,182.6534619306767,114.17090884792381,148.41218447377292,0.192,0.55,7,19,22,34,32,33,15,19,18,28,35,29,31,15,19,18,32,22
26,50.0,-78.0,0.6470900415529917,92.42317725593213,80.4206971161583,86.42193794898543,29.48641771171411,17.87426525844271,23.680342095430163,11.612152739373759,208.06494033685692,171.24613180685708,189.6555385132637,184.9304087410493,112.07647779354662,148.5034428858285,0.162,0.15000000000000002,5,1,17,15,14,14,18,18,18,33,11,15,13,18,18,18,27,6
328,66.0,-50.0,0.6023085448694935,91.51852394966649,80.45462305535106,85.98657342621368,29.209743746260667,17.030515899867208,23.120129689550403,12.179227426771812,214.17257159563732,170.38759148762585,192.28007955799367,183.20866252535498,106.82478448172822,145.01672472423425,0.24,1.175,13,15,15,13,14,14,16,15,15,37,18,14,16,16,15,15,40,47
31,60.0,-78.0,0.4859376104945724,88.20539717799562,75.93381026360322,82.06960585703025,28.860004422180136,15.939172489465584,22.39958819833075,12.920831570318331,202.13789915061759,160.63006680938764,181.38397733425023,180.99279722322422,99.94683253461162,140.46981136939635,0.222,0.2,10,1,9,7,6,7,12,11,11,42,5,7,6,12,11,11,37,8
21,40.0,-78.0,0.6082976529575701,93.60698678956841,80.65012370187449,87.12855600866382,28.981105903848093,17.299918961009592,23.140512127252045,11.681186942838504,209.08910786800104,171.33548431653793,190.21229822849875,181.773107444998,108.48031013887062,145.1267080289896,0.20400000000000001,0.525,1,1,16,17,14,16,13,16,15,34,12,15,14,13,16,15,34,21
4,48.0,-80.0,0.9165248698307356,97.1623250910852,85.8609179178718,91.51162043636543,30.649722660247775,20.631318107400563,25.640520765293896,10.018404400259437,217.9444310583982,186.1529264977899,202.04867908326725,192.23380119886477,129.35645249208713,160.79513111793602,0.156,0.9500000000000001,4,1,27,25,24,24,28,29,28,22,22,26,24,28,29,28,26,38
389,62.0,-44.0,0.9207827054283302,100.75475950466762,90.86280423961874,95.80878217731869,30.27514537522992,19.84897735054635,25.062061648990426,10.426167738581604,228.94422054769592,193.48059016423537,211.212405050791,189.90246702289264,124.49846142235538,157.20046445150513,0.168,1.0250000000000001,11,18,27,32,32,32,25,26,25,25,35,31,32,25,26,25,28,41
