index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
333,76.0,-50.0,0.7548789640069475,90.90784814840873,80.48865547841409,85.6982508215878,30.332712544746744,18.891759662055684,24.612236427649897,11.44095314971958,213.01556353992538,173.72334761743187,193.36945328985095,190.24758630074786,118.480101195044,154.3638457315391,0.198,1.1,18,15,21,12,14,13,25,22,23,32,17,17,17,25,22,23,33,44
59,74.0,-76.0,0.8997535554144787,93.10798137252453,82.91174494225038,88.00986201297813,31.1220022878053,20.643229008403146,25.882615724398057,10.478773031446906,212.88594504033506,179.98150775168557,196.4337257856588,195.18164667431734,129.4332258978821,162.3074361335117,0.114,0.2,17,2,27,16,18,17,31,29,30,25,16,21,19,31,29,30,19,8
66,46.0,-74.0,0.5711039977470627,92.75835511389012,80.08241547954616,86.42038483895462,28.869770052649763,16.83545151456818,22.852611088784677,12.034318881404346,208.46628603400745,169.33187320476245,188.89908022973594,181.07136048997893,105.57285252193563,143.3221106258302,0.216,0.55,3,3,14,16,13,14,12,14,14,36,11,13,12,12,14,14,36,22
227,74.0,-60.0,0.3918976548833503,83.37625167303429,71.75216018082602,77.56420470622832,28.564281079625218,14.643470701584551,21.603875041834467,13.920810206379286,199.04614713792395,151.68934843624098,175.36774626120575,179.1557647546721,91.8355393645998,135.49564725311586,0.294,0.7250000000000001,17,10,3,2,2,2,9,4,6,50,2,1,2,9,4,6,49,29
38,74.0,-78.0,0.9818972191543656,94.82303809611366,85.10773659977924,89.9653888738223,31.46684823612,21.33026583783135,26.398557380298755,10.136582665318114,216.8300007594413,185.1651961321933,200.99759844581558,197.34562021319178,133.74025775464037,165.54293837356278,0.132,0.675,17,1,29,20,22,21,34,31,32,23,21,25,23,34,31,32,22,27
433,66.0,-40.0,0.7229325862221079,94.6600931282784,84.07384784469821,89.3669687317258,29.600735229112615,18.242085878309453,23.921410496490576,11.358649236361703,218.9049909321327,179.22144749141216,199.063223636823,185.65499593429732,114.41003364643973,150.03251540072122,0.17400000000000002,0.225,13,20,20,20,20,20,19,19,19,31,23,21,22,19,19,19,29,9
413,68.0,-42.0,0.4999103702138885,88.32271740678432,77.24724041279839,82.784976620973,28.75499591154766,15.828692955485081,22.2918442809287,12.926302860694603,211.63363701114247,163.2520742000819,187.44285545302782,180.3501275211968,99.28362295382878,139.8168767633917,0.27,0.9500000000000001,14,19,10,7,9,8,11,10,10,42,15,9,11,11,10,10,45,38
43,42.0,-76.0,0.4958491883369497,91.78748123707234,78.4830325372677,85.13525551387923,28.425879594265133,15.876596149677944,22.151237967339068,12.54928333014623,205.88945527247296,165.1845820775593,185.53701875131108,178.28853638556114,99.55803896582215,138.92328859121855,0.234,0.55,1,2,10,14,11,12,8,10,9,39,9,10,9,8,10,9,39,22
313,78.0,-52.0,0.801731959220124,91.07699279785155,80.64650573730468,85.86174926757812,30.679258346557614,19.724356842041015,25.201807785034177,10.954901504516602,207.71945800781253,174.97538757324222,191.3474243164062,192.4032257080078,123.66547393798828,158.0343475341797,0.06,0.0,19,14,23,12,14,13,28,25,26,29,11,18,15,28,25,26,10,1
302,56.0,-52.0,0.6612861567554185,96.4203935489454,85.10406069823857,90.76222506365532,29.0691444444601,17.48409119708557,23.27661793521386,11.58505353347683,219.03660283174247,179.19264991078808,199.1146274393808,182.3339432062377,109.67184287027447,146.0028934197273,0.21,0.6000000000000001,8,14,18,23,22,23,14,17,16,33,23,21,22,14,17,16,35,24
351,70.0,-48.0,0.996103261876101,98.22575107971628,88.5255078634803,93.37562916642337,31.044977042840088,20.910417265654047,25.977697154247068,10.134559624598234,223.55953774325997,190.7949216824586,207.17722788180527,194.71371708698337,131.1261713528588,162.91994238886616,0.114,0.325,15,16,30,27,28,28,31,30,30,22,29,29,29,31,30,30,19,13
333,76.0,-50.0,0.5651289425042086,86.44602059801583,75.40085673031408,80.92343912193212,29.50259344135326,16.988283467619663,23.24543860707377,12.514309039131454,204.66964742600476,161.40786188605497,183.0387526723908,185.03503979505518,106.53838909603566,145.7867146744325,0.228,0.525,18,15,14,5,6,5,18,15,16,39,7,7,7,18,15,16,38,21
287,68.0,-54.0,0.6744132140908684,91.93576515197753,81.0460530090332,86.49091064453125,29.679602794647217,17.98526933670044,23.832435894012452,11.694332695007326,212.8679734802246,172.71037368774415,192.78917251586915,186.14682556152343,112.79660789489746,149.47171768188477,0.198,0.5,14,13,18,14,15,15,20,19,19,34,16,16,16,20,19,19,33,20
121,72.0,-70.0,0.9662741574300862,95.5171642733151,85.76441371565127,90.64078914707044,31.280044129167756,21.05796450263983,26.169004239609954,10.222079760042057,218.12819359572742,185.8727657114943,202.000478432906,196.17762324783305,132.03865104128658,164.1081392807912,0.138,0.7250000000000001,16,5,29,21,23,22,32,30,31,23,22,25,24,32,30,31,23,29
1,42.0,-80.0,0.48038174072093665,90.75823655171286,77.54021958383882,84.14922822036358,28.464422038889715,15.727190256922444,22.095805899950758,12.737231076248182,203.66728212778173,163.25860598752558,183.46293917484064,178.52461794298173,98.61550650408046,138.57006382570458,0.216,0.15000000000000002,1,1,9,12,9,10,8,10,9,41,6,9,7,8,10,9,36,6
137,62.0,-68.0,0.7282920044076108,93.37339630126952,82.2821075439453,87.82775268554687,29.944909286499026,18.682860565185546,24.313885498046876,11.26204833984375,212.59591064453122,175.77157287597657,194.18374023437502,187.80721740722655,117.15835571289062,152.4827880859375,0.18,0.5,11,6,20,17,17,17,22,21,21,31,16,18,17,22,21,21,30,20
390,64.0,-44.0,0.833152259913541,98.0501326807561,87.87943514319879,92.96478333977068,30.009626097531562,19.141578090801445,24.575602380268798,10.86804805441383,225.07007615362213,187.12778922380033,206.09893116283962,188.23240594217188,120.06431283608694,154.14835858804156,0.186,1.0,12,18,24,26,27,27,23,23,23,28,30,26,28,23,23,23,31,40
75,64.0,-74.0,0.45858656112389284,87.21448424365022,74.90332091276068,81.0589028833783,28.754347224502116,15.550658063651927,22.152502815738544,13.20368832161767,202.59051694084422,158.2825671089999,180.43654355080562,180.33452817001609,97.51834344456198,138.92643367105626,0.264,1.1,12,3,8,6,5,5,11,9,10,44,5,5,5,11,9,9,44,44
385,54.0,-44.0,0.7420210077759414,100.93174074925821,90.1142126782278,95.52297762927063,29.067780613647756,17.958264169554568,23.513022544188686,11.10951629150588,228.74647710259984,189.27589790000437,209.01118719612572,182.34440249421854,112.67148565472606,147.50794254859312,0.216,1.2000000000000002,7,18,21,32,31,32,14,18,17,30,34,28,30,14,18,17,36,48
394,72.0,-44.0,0.4385547338077671,84.89621078963916,73.69863129221427,79.29741806546285,28.700463030858742,15.237640977893577,21.969051403561398,13.462821328172682,204.4272772401618,156.32127198447648,180.37426942433174,180.00120637808695,95.55839526908564,137.77980318869817,0.28200000000000003,0.675,16,18,6,3,3,3,10,7,8,46,7,4,5,10,7,8,47,27
