,loss,mse,mae,root_mean_squared_error,val_loss,val_mse,val_mae,val_root_mean_squared_error,lr
0,1182.1949462890625,1179.5130615234375,17.588510513305664,34.34404754638672,153.90335083007812,150.85267639160156,7.857058525085449,12.282214164733887,1e-04
1,41.5350227355957,38.723819732666016,3.29919171333313,6.222846508026123,5.014145851135254,2.3201849460601807,1.0503093004226685,1.523215413093567,1e-04
2,5.130148410797119,2.4935858249664307,0.9459999799728394,1.5791095495224,3.688246726989746,1.1292576789855957,0.6974508762359619,1.062665581703186,1e-04
3,4.170962810516357,1.6887112855911255,0.7486076951026917,1.2995039224624634,3.1312835216522217,0.7458748817443848,0.5586085915565491,0.863640308380127,1e-04
4,3.5871775150299072,1.2966868877410889,0.6461902856826782,1.138720989227295,2.7555463314056396,0.5777787566184998,0.4854290783405304,0.7601175904273987,1e-04
5,3.1382017135620117,1.0633023977279663,0.5793969631195068,1.0311657190322876,2.4237396717071533,0.4678765833377838,0.42894795536994934,0.6840147972106934,1e-04
6,2.7531352043151855,0.9005162119865417,0.5306835174560547,0.9489552974700928,2.0922229290008545,0.354040265083313,0.37006086111068726,0.5950127840042114,1e-04
7,2.397538661956787,0.757466197013855,0.48623722791671753,0.8703250885009766,1.792046070098877,0.2540646195411682,0.3088915944099426,0.5040481686592102,1e-04
8,2.0928611755371094,0.6469166874885559,0.448272705078125,0.8043110370635986,1.5799648761749268,0.22793957591056824,0.2988775372505188,0.47742992639541626,1e-04
9,1.829767107963562,0.5528855919837952,0.41583001613616943,0.7435631155967712,1.3493642807006836,0.14789387583732605,0.2362440675497055,0.3845697045326233,1e-04
10,1.6229242086410522,0.4868062138557434,0.38995832204818726,0.6977149248123169,1.2071692943572998,0.1358032077550888,0.232977032661438,0.36851489543914795,1e-04
11,1.4501584768295288,0.43028321862220764,0.3681846261024475,0.6559595465660095,1.0807957649230957,0.11456586420536041,0.21957404911518097,0.33847576379776,1e-04
12,1.3104474544525146,0.38704949617385864,0.3513149619102478,0.6221327781677246,0.9913830161094666,0.10700250416994095,0.20988582074642181,0.32711225748062134,1e-04
13,1.1887075901031494,0.3429298400878906,0.33057400584220886,0.5856022238731384,0.8801894187927246,0.06937545537948608,0.17061972618103027,0.26339226961135864,1e-04
14,1.0804506540298462,0.3013007342815399,0.31044310331344604,0.5489087700843811,0.8160213828086853,0.06782881915569305,0.1711588054895401,0.26043957471847534,1e-04
15,0.9876564145088196,0.26635223627090454,0.29208484292030334,0.5160932540893555,0.7602614164352417,0.06665163487195969,0.17301490902900696,0.2581697404384613,1e-04
16,0.9074655771255493,0.2357950508594513,0.27600952982902527,0.48558735847473145,0.7177979946136475,0.07028193026781082,0.18144039809703827,0.2651074528694153,1e-04
17,0.839382529258728,0.21044662594795227,0.2604789733886719,0.458744615316391,0.6628683805465698,0.054623257368803024,0.15509836375713348,0.2337161749601364,1e-04
18,0.783387303352356,0.19184266030788422,0.2506963908672333,0.4379982352256775,0.6601194739341736,0.08780159801244736,0.20883187651634216,0.2963133454322815,1e-04
19,0.7337961196899414,0.17441996932029724,0.23870836198329926,0.41763603687286377,0.5948412418365479,0.05123015493154526,0.14981329441070557,0.22634083032608032,1e-04
20,0.6889268159866333,0.15825453400611877,0.2281000316143036,0.39781221747398376,0.5653542876243591,0.04912542551755905,0.1473614126443863,0.22164249420166016,1e-04
21,0.6514750719070435,0.14682263135910034,0.22011689841747284,0.3831743597984314,0.548639178276062,0.05760490521788597,0.16385827958583832,0.24001020193099976,1e-04
22,0.6192745566368103,0.1378914713859558,0.21394117176532745,0.371337354183197,0.5302086472511292,0.06106129288673401,0.16488435864448547,0.24710582196712494,1e-04
23,0.5879085063934326,0.1273888498544693,0.20656321942806244,0.35691583156585693,0.4947930872440338,0.04474548250436783,0.13738898932933807,0.21153132617473602,1e-04
24,0.5595794916152954,0.1182878389954567,0.19835858047008514,0.34392982721328735,0.4941761791706085,0.06365154683589935,0.1699725091457367,0.25229257345199585,1e-04
25,0.5352065563201904,0.11165991425514221,0.19381842017173767,0.3341556191444397,0.486668199300766,0.07302597165107727,0.18831051886081696,0.2702331244945526,1e-04
26,0.5122479796409607,0.10487212240695953,0.18778462707996368,0.3238397240638733,0.4359285533428192,0.036700289696455,0.12387286871671677,0.19157320261001587,1e-04
27,0.491085022687912,0.09862541407346725,0.18187953531742096,0.3140469193458557,0.43939009308815,0.05515921488404274,0.15622030198574066,0.23486000299453735,1e-04
28,0.47601327300071716,0.09704623371362686,0.18136729300022125,0.31152257323265076,0.4540933072566986,0.08308971673250198,0.19944368302822113,0.28825289011001587,1e-04
29,0.45516347885131836,0.08853615075349808,0.17271439731121063,0.297550231218338,0.39443206787109375,0.033954452723264694,0.11817935854196548,0.18426726758480072,1e-04
30,0.4424060583114624,0.08760994672775269,0.17334234714508057,0.2959896922111511,0.39314740896224976,0.04475320503115654,0.13915912806987762,0.2115495204925537,1e-04
31,0.42498525977134705,0.08112439513206482,0.16624756157398224,0.28482332825660706,0.4003909230232239,0.06308043748140335,0.1724105328321457,0.2511581480503082,1e-04
32,0.41210657358169556,0.07846396416425705,0.16378696262836456,0.2801140248775482,0.36194679141044617,0.033616404980421066,0.11837222427129745,0.18334773182868958,1e-04
33,0.3991813659667969,0.07506226003170013,0.16105753183364868,0.2739749848842621,0.4069100320339203,0.08892132341861725,0.21663838624954224,0.2981967628002167,1e-04
34,0.3871392011642456,0.0718526542186737,0.1577533334493637,0.2680533826351166,0.36833134293556213,0.058365315198898315,0.1688499003648758,0.24158914387226105,1e-04
35,0.3757297992706299,0.06865044683218002,0.15448404848575592,0.2620123624801636,0.359323650598526,0.05725976824760437,0.16650022566318512,0.23929011821746826,1e-04
36,0.36632996797561646,0.06704504787921906,0.15307630598545074,0.25893062353134155,0.3749625086784363,0.08081282675266266,0.19994087517261505,0.28427591919898987,1e-04
37,0.3559577465057373,0.06414934247732162,0.14923091232776642,0.2532771825790405,0.3565557301044464,0.06956874579191208,0.18445007503032684,0.2637588381767273,1e-04
38,0.3482418358325958,0.0633753165602684,0.14919374883174896,0.25174444913864136,0.31304308772087097,0.032042246311903,0.1163921132683754,0.17900343239307404,1e-04
39,0.33879658579826355,0.06052215024828911,0.14531482756137848,0.24601244926452637,0.32988306879997253,0.05585718899965286,0.16378989815711975,0.2363412231206894,1e-04
40,0.33026397228240967,0.058416686952114105,0.14274084568023682,0.24169550836086273,0.30634605884552,0.038301482796669006,0.12826694548130035,0.19570763409137726,1e-04
