index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
240,58.0,-58.0,0.7700034239645684,86.63703371999999,76.66492624000001,81.65097752,30.554376227999995,15.25512432,22.90475062,15.299251664000002,216.21589455999998,173.72228783999998,194.96909844,194.43097604000002,104.22564588,149.32831212,0.162,0.47500000000000003,9,11,23,24,24,24,22,23,23,28,22,24,23,21,23,23,27,19
144,76.0,-68.0,0.8783446627967852,84.07586972,74.51005715400001,79.29296303599999,31.60807177,16.659524116,24.133798150999997,14.948547281,213.42084266999998,172.15281346,192.78682679,201.10399933000002,112.95648714000001,157.03024585999998,0.15,0.925,18,6,27,18,19,19,34,29,30,25,18,22,21,34,29,30,25,37
255,46.0,-56.0,0.6274117740545074,87.50893856,77.08071216,82.29482392,29.485288280000002,13.52910176,21.507195059999997,15.956186799999998,218.10590660000003,171.3358526,194.72087600000003,187.62174040000002,93.46000206,140.54087140000001,0.216,1.0,3,12,17,26,25,25,7,16,14,32,25,21,23,7,16,14,36,40
53,62.0,-76.0,0.44849147896601527,77.98324242,67.26579758,72.62451972,29.884054264000003,11.779349572,20.831702328000002,18.10470504,204.00724868,152.68453064000002,178.3458948,190.07567016,83.63697851999999,136.85632572,0.27,1.05,11,2,2,5,3,4,11,6,8,48,5,2,3,11,5,8,45,42
339,46.0,-48.0,0.7887775362256035,92.09316496,81.90427749999999,86.998721,29.811622749999998,14.943264656,22.3774435,14.868358236999999,223.87098797999997,183.00635989999998,203.43867238,189.8458242,102.455081356,146.15044512,0.156,0.30000000000000004,3,16,24,37,36,36,11,22,20,25,32,32,32,11,22,20,26,12
49,54.0,-76.0,0.6090897830430707,81.9258874,71.60834867999999,76.767118208,30.201261512,13.921129032,22.061195136,16.280131888,207.42466384,161.71872224,184.57168936,192.23350232,95.17432063999999,143.70391383999998,0.168,0.2,7,2,16,13,12,13,16,18,18,34,9,12,11,16,17,17,28,8
277,48.0,-54.0,0.7111824500168676,88.84155069600001,78.646807552,83.744176216,29.798687023999996,14.3102537,22.054470671999994,15.488433384000002,220.24992743999996,176.05561655999998,198.15277008000004,189.57379776,98.829838,144.2018196,0.20400000000000001,1.2000000000000002,4,13,21,29,28,29,10,19,18,29,28,26,27,10,20,18,34,48
97,66.0,-72.0,0.6673006544660132,81.6540833,71.717438004,76.685759156,30.717115860000003,14.651903527999998,22.684509859999995,16.065212450000004,208.12727536,163.09658128,185.61193132,195.48037732000003,99.74647983999999,147.6134264,0.17400000000000002,0.42500000000000004,13,4,19,12,13,12,24,21,22,32,10,13,12,24,21,21,29,17
191,44.0,-62.0,0.5004010084006931,84.92068194999999,73.41799715399999,79.16933998799999,29.072966536,12.11096451,20.591965719999997,16.962001396,214.6986513,163.23414576,188.96639742,185.07485301999998,84.81847910399999,134.94666863999998,0.234,0.525,2,9,10,20,16,18,3,8,5,38,20,14,16,3,7,4,39,21
64,42.0,-74.0,0.4755573932633112,82.51352159999999,70.136097,76.324809,29.1102946,11.984629,20.547462,17.1256668,212.09982,157.40535,184.75258,185.30827799999997,84.802746,135.055512,0.24,0.625,1,3,7,14,9,12,4,7,5,39,16,7,11,4,7,4,40,25
