index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
391,66.0,-44.0,0.617094991786152,83.16196568,74.64275832,78.90236096000001,30.069152992,13.238537016,21.653844784,16.830615983999998,214.97044160000002,168.61480952,191.7926268,191.49399504000002,91.44228624000002,141.46813872,0.276,0.8250000000000001,13,18,17,16,19,18,14,15,15,37,21,19,20,14,15,15,46,33
357,40.0,-46.0,0.5918694652900629,92.73601990971427,81.46696462285713,87.10149447142858,28.50738646285714,12.263951880571428,20.385669133714284,16.24343399257143,228.89557921142858,179.64111861142857,204.26834821142856,181.58832522285712,86.78220405828571,134.18526123428572,0.252,1.05,1,17,16,38,35,37,1,9,4,33,39,29,33,1,11,3,42,42
33,64.0,-78.0,0.4301843207174316,76.8177222,65.787884,71.30280199999999,29.829247199999998,11.3405455,20.584896,18.4887022,202.684586,151.067976,176.876286,189.71645800000002,83.243067,136.47975799999998,0.294,0.15000000000000002,12,1,1,3,1,2,11,3,5,50,4,1,2,10,5,7,49,6
334,78.0,-50.0,0.48478370577889546,74.9928804,66.95321024,70.97304264,30.207668664,12.020520304000001,21.11409448,18.1871488,199.7275264,155.45689584000002,177.59220992000002,192.48114664000002,84.71394990399999,138.5975508,0.252,0.15000000000000002,19,15,8,1,3,2,16,8,10,48,2,5,3,16,7,10,42,6
125,80.0,-70.0,0.6947873708419061,79.60436080000001,70.18917604,74.89676814,31.173466419999997,15.051713940000003,23.11259044,16.12175248,205.88082860000003,161.362959,183.62188680000003,198.4577406,102.32343066,150.3905852,0.186,0.8500000000000001,20,5,20,8,9,8,29,22,24,33,7,12,9,29,22,24,31,34
186,76.0,-64.0,0.45411136972916977,74.82921664,65.88608111999999,70.35764871999999,30.122302719999997,11.62769896,20.87500052,18.494603840000003,199.1303856,152.6773432,175.9038636,191.814862,83.539644,137.67725439999998,0.276,0.125,18,8,3,1,1,1,15,5,8,50,1,2,2,15,5,9,46,5
396,76.0,-44.0,0.4923898998503906,75.72127284000001,67.88596597600001,71.803618624,30.085674456,11.948759503999998,21.01721756,18.136914104,201.78721048,158.12456064,179.95588127999997,191.72335632,84.34897031999999,138.03616496,0.252,0.07500000000000001,18,18,9,2,4,3,14,7,9,48,3,8,5,15,7,10,42,3
131,50.0,-68.0,0.8054773294959818,86.657184,76.16678784,81.411989088,30.649797919999997,15.835232640000001,23.242515328,14.814564647999998,215.29495464000001,172.7971288,194.04603872,195.07731447999998,107.498335792,151.28782656,0.12,0.17500000000000002,5,6,25,24,23,23,23,26,25,25,21,23,22,23,25,25,20,7
283,60.0,-54.0,0.9320170201499294,89.35389450000001,79.41679130666665,84.38534333333335,31.105001356000002,16.708366565333336,23.906684393333332,14.396634177333333,220.63281165333333,180.67861062666665,200.65571029333333,198.05927830666667,113.05436108,155.55682588,0.10200000000000001,0.2,10,13,29,30,30,30,28,29,29,22,28,30,29,29,29,29,17,8
140,68.0,-68.0,0.5942900400508432,80.35436612,70.81664434000001,75.585504528,30.416521875999997,13.695429053999998,22.055975908,16.721092940000002,205.17398684000003,160.60212005999998,182.88805788000002,193.65837564000003,93.88883138400001,143.77360422,0.162,0.07500000000000001,14,6,16,9,10,10,20,17,18,36,6,11,8,20,17,18,27,3
112,54.0,-70.0,0.5267460548361032,81.15429702399999,71.09282999999998,76.123564464,29.789982744,12.678544679999998,21.234263376,17.111438207999996,206.67499055999997,159.90015376000002,183.2875728,189.62219911999998,88.24965024,138.93592344,0.20400000000000001,0.17500000000000002,7,5,12,11,11,11,10,12,11,39,8,10,9,10,12,11,34,7
