index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
298,48.0,-52.0,0.48359947681721394,85.94488627999999,75.67377416000001,80.8093304,28.91026244,11.66988996,20.290076640000002,17.24037232,217.3994456,167.23419840000003,192.31682640000002,184.0187576,81.96871232,132.99373920000002,0.264,1.0,4,14,8,22,22,22,3,5,3,40,24,18,20,2,3,2,44,40
405,52.0,-42.0,0.6628768709922488,90.31807036000001,80.94077912,85.629421944,29.331715192,13.136383005999999,21.23404941,16.195333084,225.79950266,180.21949078000003,203.00949759999997,186.77488377999998,91.53079392,139.15284357,0.294,0.675,6,19,19,32,34,33,5,14,11,33,35,29,32,5,15,11,49,27
417,76.0,-42.0,0.6085765518007183,78.410940638,70.25271544866666,74.33182514533333,30.68184030333333,13.758386747666666,22.220113423666668,16.923453402333333,207.40939846999999,160.8707795566667,184.14008804333332,195.48275774666666,93.88008451266667,144.68141858,0.234,1.2000000000000002,18,19,16,6,9,7,23,17,19,38,9,11,10,24,17,18,39,48
162,70.0,-66.0,0.6734726279374619,81.62979538666667,71.965055952,76.79742816533333,30.74160488133333,14.682599261333335,22.71210216933333,16.059005962666667,207.44477845333336,163.71040462666664,185.57759365333334,195.73349846666667,99.75278209333334,147.7431426,0.138,0.1,15,7,19,12,13,13,24,21,22,32,9,14,12,24,21,22,23,4
153,52.0,-66.0,0.7632039295295839,85.9926094,75.62682260000001,80.80971832,30.53945488,15.417767360000001,22.978611400000002,15.12168728,213.77052479999998,171.1603244,192.465426,194.419394,104.67801456000001,149.54870680000002,0.12,0.125,6,7,23,22,22,22,22,24,23,26,19,21,20,21,24,23,20,5
336,40.0,-48.0,0.8835017161075429,89.14991536000001,78.32989672,83.73990391999999,30.814163391999998,16.41275748,23.613459663999997,14.401406055999999,217.8557892,177.7204392,197.7881124,196.36441760000002,110.83117855999998,153.59780208,0.06,0.025,1,16,28,30,28,29,25,28,27,22,25,27,26,25,28,27,10,1
240,58.0,-58.0,0.46453233073439265,80.916402588,71.38080473,76.14860345,29.425657602,11.510480934,20.468068922,17.915176168,208.83239392000002,160.93557221999995,184.88397885999998,187.29731032,82.109895132,134.70359915999998,0.258,0.325,9,11,5,11,12,11,6,4,4,46,11,11,11,6,3,4,43,13
314,80.0,-52.0,0.6022117661040092,77.34833592,68.77837543999999,73.063353296,30.828086487999997,13.860038536000001,22.344062656,16.968047376,203.60233064,157.95476983999998,180.77854928,196.38997464000002,94.65751558400001,145.52374799999998,0.216,0.7250000000000001,20,14,16,4,6,5,25,17,19,38,5,8,6,26,17,19,36,29
246,70.0,-58.0,0.8406773839493944,85.29862592,75.88864192,80.59363574400001,31.203096584,16.013342232,23.608219591999998,15.189754136000001,215.54266264,174.24730768,194.89498384,198.51488792,109.146815104,153.83085232000002,0.168,1.1500000000000001,15,11,26,21,22,22,30,26,27,27,21,24,23,29,26,27,28,46
35,68.0,-78.0,0.414083827169836,75.54292456,64.65160452,70.09726327999999,29.879847120000004,11.070061759999998,20.47495472,18.809785840000004,201.1278428,149.3701964,175.2490232,190.01125280000002,82.44019416000002,136.22572200000002,0.3,0.125,14,1,1,2,1,1,11,2,4,50,2,1,1,11,4,6,50,5
