index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
376,78.0,-46.0,0.8253308890551585,83.62243917333333,74.707805704,79.16512497866667,31.289608693333335,15.939782061333332,23.61469544933333,15.349826809333333,213.45576556000003,171.80828604,192.6320360133333,199.2858492266667,107.90386737866666,153.59485669333333,0.14400000000000002,0.35000000000000003,19,17,25,17,19,18,30,26,27,28,18,22,21,31,26,27,24,14
76,66.0,-74.0,0.42770923182019405,76.584467284,65.883483456,71.23397387,29.82634143,11.222378356,20.524359519999997,18.603963182,202.4060381,151.67853142,177.04228713999998,189.73802818,82.646739756,136.19238214,0.28200000000000003,0.05,13,3,1,3,1,2,11,2,5,50,3,1,2,10,4,6,47,2
100,72.0,-72.0,0.461284106303995,76.04651208,66.41890459999999,71.2327092,30.1084984,11.793363,20.95093116,18.3151348,200.6011004,152.70412519999996,176.65261319999996,191.6807528,84.73415407999998,138.207452,0.264,0.0,16,4,4,2,2,2,14,6,9,49,2,2,2,14,7,10,44,1
315,40.0,-50.0,0.6959648312960947,92.6626764,81.50888338,87.08577528000001,29.138398119999998,13.761403075,21.44990054,15.376995675,227.3572597,180.4613709,203.9093112,185.5015358,95.52547205,140.5135027,0.216,1.2000000000000002,1,15,20,38,35,37,4,17,13,28,37,30,33,4,18,14,36,48
263,62.0,-56.0,0.6371483790484205,83.72055791599999,74.2108291,78.9656928,30.240548196,13.936943208,22.088746222,16.30360623,212.19714262000002,167.18987320000002,189.69351046,192.4959519,95.489081076,143.9925192,0.198,0.55,11,12,18,17,18,18,16,18,18,34,16,18,17,16,18,18,33,22
421,42.0,-40.0,0.48506212405977434,91.69341484909091,81.087467464,86.39044166181817,27.715117691272727,10.469320970363636,19.092219475636362,17.24579636690909,228.87026329454545,181.07593995999997,204.9731005818182,176.80156148363636,78.03540146327272,127.41848252181818,0.27,0.025,1,20,8,36,34,35,1,1,1,40,39,30,34,1,1,1,45,1
302,56.0,-52.0,0.8804622086213236,90.02252521199999,80.005710092,85.014115738,30.703007149999998,16.101532169,23.402269299999997,14.601475522,221.44584925,181.14941783,201.29763563,195.47334160999998,109.50094869,152.48714787999998,0.126,0.275,8,14,28,32,31,32,24,27,26,23,29,30,30,24,27,26,21,11
155,56.0,-66.0,0.7762091341057373,85.66317568,75.43139473600002,80.547283824,30.650646352000003,15.455309688,23.05297728,15.195336176,215.29581176,171.68782912,193.49181768,194.93113464000004,105.79045216,150.36079552,0.18,1.2000000000000002,8,7,24,22,21,21,23,24,24,27,21,22,22,23,24,24,30,48
245,68.0,-58.0,0.6787172803662364,82.61810191999999,73.23834643999999,77.928226624,30.651103452,14.498126198000001,22.574614412000003,16.152976692,211.06494607999997,166.43967812,188.75231544000002,195.07254192,99.13393552000001,147.10323763999997,0.198,0.9,14,11,20,14,16,15,23,20,21,33,15,17,16,23,20,21,33,36
241,60.0,-58.0,0.5704875632622977,82.63628881999999,73.40355956799999,78.01992652,29.881001164,13.065998451999999,21.473499975999996,16.815003656,208.7271128,164.77857024000002,186.75284316,190.28903248,90.33278127999999,140.31090956000003,0.17400000000000002,0.05,10,11,14,15,16,16,11,14,13,37,11,15,14,12,14,13,29,2
237,52.0,-58.0,0.8363091055372803,88.93863157599999,78.645857776,83.792245696,30.54388876,15.78782528,23.165856496,14.756063803999998,219.50916628,178.13072456,198.81994384,194.35927896,107.784258816,151.071769,0.14400000000000002,0.4,6,11,26,29,28,29,22,25,25,24,27,27,27,21,26,25,24,16
385,54.0,-44.0,0.774069066994865,91.0536348,81.545506804,86.299569564,29.955021144,14.638682764,22.29685194,15.316338735999999,224.76704548,182.70892904000002,203.73798635999998,190.71787288,100.59675844,145.65731456,0.20400000000000001,0.8250000000000001,7,18,23,34,35,35,12,21,19,28,34,32,32,12,21,19,34,33
117,64.0,-70.0,0.9370120135861847,86.6304116,76.82035252,81.7253792,31.49686436,17.09576596,24.29631548,14.4010982,217.5962644,176.64390559999998,197.1200852,200.29389759999998,116.0076052,158.15074799999996,0.14400000000000002,1.125,12,5,30,24,24,24,33,31,31,22,24,26,25,32,31,31,24,45
16,72.0,-80.0,0.8635489282328359,84.07730568,73.35801368,78.71766088000001,31.43722392,16.7237196,24.08047216,14.71350418,210.5360584,168.99018439999998,189.76312560000002,200.3534704,112.7611804,156.5573232,0.036000000000000004,0.0,16,1,27,18,16,17,32,29,30,24,14,19,17,32,29,30,6,1
239,56.0,-58.0,0.9123641414341133,89.01737419000001,78.78652492,83.90195034000001,31.016218275,16.655992339999997,23.836105205,14.360226025000001,219.31053555,179.09530545,199.20292070000002,197.4908377,112.67152544000001,155.08118055000003,0.09,0.125,8,11,29,29,29,29,27,29,29,22,26,28,28,28,29,29,15,5
106,42.0,-70.0,0.7671576243777943,87.15470007999998,75.95412928,81.55441520000001,30.138915519999998,15.38571096,22.7623128,14.75320484,218.3003852,171.8711268,195.0857568,191.734394,105.29667728,148.5155428,0.18,1.125,1,5,23,25,22,24,15,24,22,24,25,22,23,15,24,22,30,45
138,64.0,-68.0,0.4240619007957832,77.61224892,67.15292772000001,72.38258648,29.744230520000002,11.21155834,20.47789436,18.532672400000003,204.3886736,153.28497940000003,178.8368206,189.1634588,81.19130363999999,135.17738119999999,0.28800000000000003,1.0,12,6,1,5,3,4,10,2,4,50,6,3,4,9,2,5,48,40
408,58.0,-42.0,0.7739577726870885,89.84369064,80.61132096,85.22750536000001,30.123098040000002,14.699648175999998,22.411373759999996,15.423449352000002,223.7514096,181.00130448,202.37636224,191.86285847999997,100.54966716799998,146.20626832,0.216,0.625,9,19,23,31,33,32,15,21,20,28,32,30,31,15,21,20,36,25
333,76.0,-50.0,0.5579174978715332,77.57923602,69.15895528,73.36909986,30.526795284,13.259242744,21.89301854,17.267553284,204.80815056,157.77089895999998,181.28952556,194.48069272000004,90.84702835999998,142.66386236,0.234,0.8500000000000001,18,15,14,4,7,5,21,15,16,41,6,8,7,22,14,16,39,34
259,54.0,-56.0,0.9684617551033199,90.50795288,80.246353328,85.377156,31.116968063999998,17.074899688,24.095933512,14.042068191999999,221.92972343999998,182.47107288,202.2004008,198.14137248000003,115.40967488000001,156.77552224000002,0.084,0.15000000000000002,7,12,31,33,32,32,29,31,30,19,30,31,31,29,31,30,14,6
201,64.0,-62.0,0.47732470249385633,79.155707436,69.72708585,74.44139756,29.794333952,11.869043408000001,20.831688676000002,17.925290652,205.48363008,158.20659358,181.84510996,189.66412774000003,84.09107277,136.87759802000002,0.246,0.225,12,9,7,7,8,7,10,6,8,46,7,8,7,10,6,8,41,9
400,42.0,-42.0,0.774580967024601,93.94001077399133,83.82869007951516,88.8843496795671,29.390282248891776,14.384682752943723,21.88748229017316,15.005599310805195,227.81291599142858,186.4207616240693,207.11683991939393,187.30037656337663,99.33140788442424,143.31588833748918,0.162,0.17500000000000002,1,19,23,41,41,41,6,20,16,26,38,35,36,6,20,17,27,7
426,52.0,-40.0,0.8348272426738742,93.15916736,83.44404263999999,88.30160558399999,29.977739928,15.268657680000002,22.623199328,14.709081948,227.0707228,186.81535415999997,206.94304383999997,191.0270024,104.23926872,147.63313472,0.156,0.275,6,20,26,39,40,40,13,23,21,24,37,35,36,13,23,21,26,11
406,54.0,-42.0,0.7621774589540946,91.157515424,81.78018632,86.468854616,29.829069760000003,14.364955832,22.097013168,15.464114168000002,225.37575184000002,182.93272104,204.15423592,189.991618,98.82095247999999,144.40628456,0.264,0.55,7,19,23,34,36,35,11,20,18,29,34,32,33,11,20,18,44,22
7,54.0,-80.0,0.487762025170244,79.6089536,68.616552,74.11275364,29.773908260000006,12.3656442,21.069776459999996,17.40826484,205.59766480000002,154.930735,180.26420059999998,189.45072520000002,86.56525919999999,138.0079872,0.234,0.625,7,1,8,8,5,7,10,10,10,42,7,4,5,10,10,10,39,25
291,76.0,-54.0,0.5705001724483066,77.87373603999998,69.25981001999999,73.56677098999998,30.583551788999998,13.435081820999999,22.009317361,17.14847019,204.86416759999997,157.96068832999998,181.41243070999997,194.81568927,91.98480238099998,143.40024612000002,0.234,1.2000000000000002,18,13,14,5,7,6,22,16,17,39,6,8,7,22,15,17,39,48
169,42.0,-64.0,0.799494084295949,88.64557056,77.87251052,83.25904052,30.214024072,15.541849240000001,22.877936927999997,14.672174944,218.54706024,175.67649767999998,197.11177536000002,192.30615368000002,106.04236983199999,149.17426392,0.14400000000000002,0.325,1,8,24,28,27,27,16,24,23,24,25,25,25,16,24,23,24,13
414,70.0,-42.0,0.9880139808969695,89.89665861399999,80.85243162,85.37454534999999,31.327332499999997,16.984864216000002,24.156098942,14.342468281999999,223.8308475,185.06162324,204.44623553999998,199.51820482,114.89133865599999,157.20477108,0.126,0.6000000000000001,15,19,32,31,33,32,31,30,31,21,32,34,33,31,30,31,21,24
164,74.0,-66.0,0.8809434299271643,84.61571161,75.00068685466667,79.80820035400001,31.546455841333334,16.623748573333337,24.085102129,14.922706994333335,214.1274392166667,172.70747281333334,193.4174581433333,200.74854843666668,112.56595436533334,156.65725143,0.138,0.5750000000000001,17,7,28,19,20,20,33,29,30,25,19,23,21,33,29,30,23,23
