index,endo,epi,volume,longitudinal_distance_epi,longitudinal_distance_endo,longitudinal_distance,radial_distance_epi,radial_distance_endo,radial_distance,wall_thickness,global_longitudinal_length_epi,global_longitudinal_length_endo,global_longitudinal_length,global_circumferential_length_epi,global_circumferential_length_endo,global_circumferential_length,gamma,pressure,endo-b,epi-b,volume-b,longitudinal_distance_epi-b,longitudinal_distance_endo-b,longitudinal_distance-b,radial_distance_epi-b,radial_distance_endo-b,radial_distance-b,wall_thickness-b,global_longitudinal_length_epi-b,global_longitudinal_length_endo-b,global_longitudinal_length-b,global_circumferential_length_epi-b,global_circumferential_length_endo-b,global_circumferential_length-b,gamma-b,pressure-b
303,58.0,-52.0,0.6311009131988938,85.38425295866668,75.91196088666668,80.64810531999998,29.950475716,13.687461099999998,21.818968970666667,16.263015813333332,214.92381889333336,170.07009969333333,192.49696085333335,190.66838036,94.06300522133333,142.36570058666666,0.20400000000000001,0.55,9,14,17,21,22,22,12,17,16,33,21,20,20,12,17,16,34,22
128,44.0,-68.0,0.6006911691049306,84.55158571200002,73.932080752,79.241831536,29.728479024000002,13.509612188,21.619045472000003,16.218866776,210.54491588,165.47684992000003,188.01088056,189.29855679999997,93.043921568,141.17123948,0.15,0.05,2,6,16,19,18,18,9,16,15,33,14,16,15,10,16,15,25,2
239,56.0,-58.0,0.7375752997187824,86.48307978400001,76.48830152000001,81.48568899200001,30.372173368,14.91445922,22.643316648,15.457713964,215.74494568000003,172.73092695999998,194.23794232,193.28824096,102.001126736,147.64468408,0.168,0.45,8,11,22,23,23,24,19,22,21,29,22,23,22,19,22,21,28,18
32,62.0,-78.0,0.4455959587495261,77.79637610533334,66.87210527733333,72.334239112,29.885553441333336,11.749467103999999,20.817510544,18.136086209333335,203.84302842666668,152.02751832,177.9352765333333,190.0691958933333,83.77560157333333,136.92240128,0.27,1.1,11,1,2,5,3,4,11,6,7,48,5,2,3,11,6,8,45,44
127,42.0,-68.0,0.5029235665435035,84.28471400000001,72.049434,78.167074,29.110876,12.3708186,20.7408474,16.740058,214.710838,160.487988,187.599412,185.308208,85.93459880000002,135.621398,0.24,1.25,1,6,10,18,13,16,4,10,7,36,20,11,15,4,10,5,40,50
46,48.0,-76.0,0.7131176375386191,84.23349414799998,73.661240388,78.94736805599999,30.463623456,15.072062435999998,22.767843667999998,15.391561222,210.52332048,166.8206182,188.67197128000004,193.93683719999999,102.259790316,148.09831056,0.114,0.07500000000000001,4,2,21,18,17,18,20,22,22,28,14,17,16,20,22,22,19,3
218,56.0,-60.0,0.8423954982845593,87.83936336,77.65658832,82.747978776,30.773754712,15.984893008,23.379324392,14.788861804,217.80590864,176.38797424,197.09693904000002,195.84136736,108.78104096,152.31120392,0.132,0.30000000000000004,8,10,26,27,26,26,25,26,26,24,25,26,25,24,26,26,22,12
390,64.0,-44.0,0.8341905511078694,88.28235014399999,78.917749352,83.60004964,30.676668932000002,15.681027772,23.178849048,14.99564198,219.84254192,178.87830856,199.36042148,195.41070644,106.45569481999999,150.933199,0.132,0.2,12,18,26,28,29,28,23,25,25,26,27,28,28,24,25,25,22,8
271,78.0,-56.0,0.9017120786235939,84.9823809,75.6108531,80.29661870799998,31.596058240000005,16.767287926,24.181672864,14.828770531,214.76501646,174.17322992,194.4691253,201.17181154,113.26482508400002,157.21831439999997,0.114,0.275,19,12,28,20,22,21,34,29,31,25,20,24,23,34,29,31,19,11
199,60.0,-62.0,0.4338875944559192,79.17533,69.0165476,74.09594,29.446544799999998,11.0494272,20.2479844,18.397116,206.843716,157.53697,182.190336,187.382082,80.8609744,134.12153,0.28800000000000003,0.25,10,9,1,7,6,7,6,1,3,49,9,7,8,6,2,3,48,10
187,78.0,-64.0,0.6731206473313994,79.76537705999999,70.52525061399999,75.14531460399999,31.012850979999996,14.716936470999999,22.864893669999997,16.295914722,206.28425357999998,161.56449876,183.92437472,197.46186292,100.217092072,148.83947546,0.186,0.6000000000000001,19,8,19,8,10,9,27,21,23,34,8,12,10,28,21,23,31,24
432,64.0,-40.0,0.979930342009766,92.22768906,83.08635572,87.657025976,30.964955052,16.66668936,23.815821864,14.298266516,227.59645908,189.05099864,208.32373276,197.191797,113.129974848,155.16088720000002,0.162,0.9500000000000001,12,20,31,37,39,38,27,29,29,21,37,37,37,27,29,29,27,38
114,58.0,-70.0,0.5057819165834392,80.160551216,70.069809056,75.11518224,29.875746472000003,12.493973264,21.184860096,17.381773752,206.12799495999997,157.83187008,181.97992992,190.13685536000003,87.000529376,138.56869112,0.228,0.47500000000000003,9,5,10,9,9,9,11,11,11,42,8,8,7,11,11,10,38,19
145,78.0,-68.0,0.5870615917764179,77.83612692,68.575009444,73.205569224,30.764538408,13.808319175999998,22.286429344000002,16.95621974,202.79967948,156.76293832000002,179.78131148,195.914106,94.40787155999999,145.16098792,0.198,0.4,19,6,15,5,5,5,25,17,19,38,4,6,5,25,17,19,33,16
