,loss,mse,mae,root_mean_squared_error,val_loss,val_mse,val_mae,val_root_mean_squared_error,lr
0,0.0020894668996334076,0.0012548844097182155,0.021711373701691628,0.03542434796690941,0.0006727781146764755,0.00022043025819584727,0.010930731892585754,0.014846893958747387,1e-04
1,0.00046776083763688803,0.00019056313612964004,0.009719493798911572,0.013804460875689983,0.0003405340830795467,0.00015280609659384936,0.008461086079478264,0.012361476197838783,1e-04
2,0.0003080890455748886,0.0001486979308538139,0.008092861622571945,0.012194176204502583,0.000268267875071615,0.00012844330922234803,0.0073888665065169334,0.01133328303694725,1e-04
3,0.0002574606623966247,0.00013078235497232527,0.007360387593507767,0.011436011642217636,0.00023273575061466545,0.00011760163761209697,0.0069030397571623325,0.010844429023563862,1e-04
4,0.0002252613048767671,0.00012034373503411189,0.006937755737453699,0.010970128700137138,0.0002047227171715349,0.00010934279271168634,0.006502998992800713,0.010456710122525692,1e-04
5,0.00019937416072934866,0.00011206304043298587,0.006598857697099447,0.010585983283817768,0.00018221586651634425,0.00010219053365290165,0.006235172040760517,0.010108932852745056,1e-04
6,0.0001785544736776501,0.00010503593512112275,0.00629177363589406,0.010248703882098198,0.00016367349599022418,9.601376223145053e-05,0.0059522357769310474,0.00979866087436676,1e-04
7,0.00016214032075367868,9.830632916418836e-05,0.006004238035529852,0.00991495419293642,0.0001507694978499785,9.04996195458807e-05,0.005686955060809851,0.00951312854886055,6.9999995e-05
8,0.00015053496463224292,9.370549378218129e-05,0.005825676955282688,0.009680159389972687,0.00013989799481350929,8.62767847138457e-05,0.005529385060071945,0.009288529865443707,6.9999995e-05
9,0.00013967585982754827,8.911205804906785e-05,0.00566081004217267,0.009439918212592602,0.00012969033559784293,8.18390108179301e-05,0.005394508130848408,0.009046491235494614,6.9999995e-05
10,0.0001298997667618096,8.472667104797438e-05,0.005514557473361492,0.009204708971083164,0.00012031487131025642,7.75028602220118e-05,0.005223202519118786,0.00880357064306736,6.9999995e-05
11,0.00012094096018699929,8.048047311604023e-05,0.005363136995583773,0.00897109042853117,0.00011159985297126696,7.32308835722506e-05,0.005059044808149338,0.008557504042983055,6.9999995e-05
12,0.00011294651631033048,7.649823965039104e-05,0.005225618369877338,0.00874632690101862,0.00010426280641695485,6.947525980649516e-05,0.0049504367634654045,0.008335182443261147,6.9999995e-05
13,0.00010637725790729746,7.277326949406415e-05,0.005081250332295895,0.008530724793672562,9.928646613843739e-05,6.658927304670215e-05,0.004848086275160313,0.008160225115716457,4.8999995e-05
14,0.0001019666888169013,7.037069735815749e-05,0.00500293355435133,0.00838872417807579,9.523236803943291e-05,6.440639845095575e-05,0.004798376001417637,0.008025359362363815,4.8999995e-05
